               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12679,            0.027426,                   0,          0.00010442,            0.021739,          8.7024e-05,          1.7405e-05,             0.11075,            0.030444,                   0,               7e-05,               7e-05,             0.09937
                   1,             0.12632,            0.026051,                   0,          9.1055e-05,            0.021739,          8.4921e-05,          8.4921e-06,             0.10845,            0.029387,                   0,          0.00014926,          0.00014926,            0.098649
                   2,             0.11731,            0.026223,                   0,          0.00020885,            0.043478,          0.00013972,          2.2464e-05,             0.10717,            0.028567,                   0,          0.00022772,          0.00022772,            0.097928
                   3,             0.12059,            0.024776,                   0,          0.00020884,            0.043478,          0.00012107,          1.9178e-05,             0.10637,            0.027744,                   0,           0.0003054,           0.0003054,            0.097205
                   4,             0.11465,            0.025645,                   0,          0.00020885,            0.043478,          0.00010052,          1.4783e-05,             0.10508,            0.027214,                   0,          0.00038228,          0.00038228,            0.096482
                   5,             0.11165,            0.026075,                   0,          0.00020885,            0.043478,          9.4424e-05,          2.8008e-05,             0.10355,            0.026929,                   0,          0.00045837,          0.00045837,            0.095758
                   6,             0.10666,            0.025288,                   0,          0.00020885,            0.043478,          9.4625e-05,          2.3492e-05,             0.10246,            0.026728,                   0,          0.00053367,          0.00053367,            0.095034
                   7,             0.10573,             0.02512,                   0,          0.00020884,            0.043478,            0.000113,          2.7209e-05,             0.10097,            0.026731,                   0,          0.00060817,          0.00060817,            0.094308
                   8,              0.1036,            0.026425,                   0,          0.00019994,            0.043478,          9.3843e-05,          2.3314e-05,            0.099969,            0.026703,                   0,          0.00068188,          0.00068188,            0.093582
                   9,             0.10271,            0.026167,                   0,          0.00031348,            0.065217,          0.00014586,          2.9137e-05,            0.098885,              0.0268,                   0,          0.00075481,          0.00075481,            0.092855
                  10,             0.10098,            0.026105,                   0,          0.00029078,            0.065217,          0.00014772,          3.3985e-05,            0.097961,            0.026854,                   0,          0.00082693,          0.00082693,            0.092127
                  11,             0.10057,            0.028094,                   0,          0.00031575,            0.065217,           0.0001504,          3.4979e-05,            0.096893,            0.026975,                   0,          0.00089827,          0.00089827,            0.091398
                  12,             0.10079,            0.025378,                   0,           0.0004001,            0.065217,          0.00015413,          3.6384e-05,            0.096312,            0.027023,                   0,          0.00096882,          0.00096882,            0.090669
                  13,            0.098793,            0.027404,                   0,           0.0002809,            0.065217,           0.0001549,           3.098e-05,            0.095566,             0.02714,                   0,           0.0010386,           0.0010386,            0.089939
                  14,            0.098006,            0.027178,                   0,          0.00070069,            0.021739,          0.00016264,          3.2527e-05,            0.094842,            0.027264,                   0,           0.0011075,           0.0011075,            0.089208
                  15,            0.094975,            0.025058,                   0,          0.00036992,            0.065217,          0.00022997,          5.1614e-05,            0.094105,            0.027398,                   0,           0.0011757,           0.0011757,            0.088476
                  16,            0.096336,             0.02595,                   0,           0.0004927,            0.065217,             0.00016,          3.2001e-05,            0.093199,            0.027672,                   0,           0.0012431,           0.0012431,            0.087743
                  17,            0.096769,             0.02565,                   0,          0.00053094,            0.043478,          0.00016497,          3.1558e-05,            0.092717,            0.027793,                   0,           0.0013097,           0.0013097,             0.08701
                  18,            0.097324,            0.027803,                   0,          0.00040602,            0.021739,          0.00020562,          4.9066e-05,             0.09218,            0.027636,                   0,           0.0013755,           0.0013755,            0.086275
                  19,            0.097299,            0.025624,                   0,           0.0020368,            0.043478,          0.00037221,          3.7221e-05,            0.091053,            0.027944,                   0,           0.0014405,           0.0014405,             0.08554
