               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1182,            0.029333,                   0,          0.00036675,                0.08,          0.00025289,          5.0879e-05,            0.088081,            0.030912,                   0,               7e-05,               7e-05,             0.09937
                   1,              0.1154,            0.029195,                   0,          0.00064183,                0.14,          0.00047542,          8.7943e-05,            0.086112,            0.030132,                   0,          0.00014926,          0.00014926,            0.098649
                   2,             0.11008,            0.030639,                   0,          0.00045429,                 0.1,           0.0002897,          7.5912e-05,            0.084425,            0.029376,                   0,          0.00022772,          0.00022772,            0.097928
                   3,             0.10818,            0.027705,                   0,          0.00052213,                 0.1,          0.00028132,          8.0802e-05,            0.082947,            0.028823,                   0,           0.0003054,           0.0003054,            0.097205
                   4,             0.10417,            0.028414,                   0,           0.0004606,                 0.1,          0.00025416,          7.2267e-05,            0.081552,            0.028452,                   0,          0.00038228,          0.00038228,            0.096482
                   5,             0.10184,            0.028788,                   0,          0.00061287,                0.12,          0.00034537,          8.6602e-05,            0.080912,             0.02812,                   0,          0.00045837,          0.00045837,            0.095758
                   6,             0.10328,            0.026409,                   0,          0.00056186,                 0.1,          0.00027269,          6.2997e-05,             0.08051,            0.027811,                   0,          0.00053367,          0.00053367,            0.095034
                   7,             0.10145,             0.02586,                   0,          0.00052213,                 0.1,          0.00026507,            7.01e-05,            0.080073,            0.027579,                   0,          0.00060817,          0.00060817,            0.094308
                   8,            0.099579,            0.025939,                   0,          0.00049408,                 0.1,          0.00027905,          7.6443e-05,            0.079805,            0.027324,                   0,          0.00068188,          0.00068188,            0.093582
                   9,            0.099595,            0.027238,                   0,          0.00052945,                 0.1,          0.00026689,          6.7683e-05,            0.079601,            0.027136,                   0,          0.00075481,          0.00075481,            0.092855
                  10,            0.095834,             0.02584,                   0,           0.0004724,                0.02,          0.00028212,          8.6002e-05,            0.079276,            0.027007,                   0,          0.00082693,          0.00082693,            0.092127
                  11,            0.099551,            0.026588,                   0,           0.0005198,                 0.1,          0.00028206,          8.0568e-05,            0.079121,            0.026856,                   0,          0.00089827,          0.00089827,            0.091398
                  12,             0.09896,            0.024776,                   0,          0.00054974,                0.08,          0.00029248,          8.3959e-05,            0.078873,            0.026751,                   0,          0.00096882,          0.00096882,            0.090669
                  13,            0.096938,            0.027627,                   0,          0.00055522,                0.04,          0.00026499,          6.3544e-05,            0.078839,             0.02662,                   0,           0.0010386,           0.0010386,            0.089939
                  14,            0.097253,            0.028061,                   0,          0.00066087,                0.02,          0.00027758,          8.1487e-05,            0.078353,            0.026642,                   0,           0.0011075,           0.0011075,            0.089208
                  15,            0.098483,            0.025287,                   0,          0.00074066,                0.12,          0.00039825,          7.3472e-05,            0.077898,             0.02674,                   0,           0.0011757,           0.0011757,            0.088476
                  16,            0.096583,            0.026699,                   0,          0.00067398,                0.08,          0.00027481,          7.6712e-05,            0.077111,            0.026937,                   0,           0.0012431,           0.0012431,            0.087743
                  17,            0.097425,            0.027527,                   0,          0.00061559,                0.04,          0.00034955,          0.00010573,            0.076836,            0.026926,                   0,           0.0013097,           0.0013097,             0.08701
                  18,            0.095476,            0.026645,                   0,          0.00066448,                0.02,          0.00035932,           0.0001197,            0.076735,            0.026845,                   0,           0.0013755,           0.0013755,            0.086275
                  19,            0.097381,            0.025041,                   0,           0.0022224,                0.04,           0.0008694,           0.0001769,            0.076399,            0.026807,                   0,           0.0014405,           0.0014405,             0.08554
                  20,            0.094585,            0.025584,                   0,          0.00091098,                0.16,          0.00054615,          0.00010899,            0.075923,            0.026904,                   0,           0.0015047,           0.0015047,            0.084805
                  21,            0.095304,            0.027198,                   0,          0.00064112,                 0.1,          0.00038655,          8.2563e-05,            0.075428,            0.027022,                   0,           0.0015681,           0.0015681,            0.084068
                  22,            0.091291,            0.026595,                   0,          0.00093812,                0.12,          0.00058806,          9.3242e-05,            0.075079,            0.027041,                   0,           0.0016307,           0.0016307,            0.083331
                  23,            0.096253,            0.026112,                   0,           0.0010807,                 0.1,          0.00053642,           9.322e-05,            0.074597,            0.027086,                   0,           0.0016925,           0.0016925,            0.082593
                  24,            0.093995,            0.026356,                   0,           0.0011116,                0.06,          0.00079485,          0.00013281,            0.073961,            0.027233,                   0,           0.0017536,           0.0017536,            0.081854
                  25,            0.092927,            0.027914,                   0,           0.0040723,                 0.1,           0.0012795,          0.00019055,            0.073559,            0.027282,                   0,           0.0018138,           0.0018138,            0.081114
