               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13014,            0.025758,            0.056821,                   0,                   0,                   0,                   0,             0.10837,            0.027984,            0.052506,               8e-05,               8e-05,             0.09928
                   1,             0.12551,             0.02393,            0.056599,                   0,                   0,                   0,                   0,             0.10476,            0.026848,            0.052337,          0.00016916,          0.00016916,            0.098469
                   2,              0.1195,            0.023787,            0.055096,                   0,                   0,                   0,                   0,             0.10186,            0.025971,             0.05218,          0.00025743,          0.00025743,            0.097657
                   3,             0.10943,            0.024851,             0.05331,          7.2338e-05,            0.016667,          4.1165e-05,          4.1165e-06,            0.099742,            0.025362,            0.052015,           0.0003448,           0.0003448,            0.096845
                   4,             0.10448,            0.024136,            0.052408,          7.2338e-05,            0.016667,          6.4965e-05,          6.4965e-06,            0.098049,            0.024884,            0.051854,          0.00043129,          0.00043129,            0.096031
                   5,              0.1015,            0.025345,            0.051527,          7.2338e-05,            0.016667,          5.3941e-05,          5.3941e-06,            0.097681,            0.024387,            0.051684,          0.00051688,          0.00051688,            0.095217
                   6,              0.1011,            0.024959,            0.051539,                   0,                   0,                   0,                   0,            0.097406,             0.02402,            0.051493,          0.00060159,          0.00060159,            0.094402
                   7,            0.098783,            0.026146,            0.051057,                   0,                   0,                   0,                   0,            0.097107,            0.023743,            0.051313,           0.0006854,           0.0006854,            0.093585
                   8,             0.10034,            0.026316,            0.050283,                   0,                   0,                   0,                   0,            0.096941,            0.023475,            0.051124,          0.00076832,          0.00076832,            0.092768
                   9,            0.098188,            0.025569,            0.049884,                   0,                   0,                   0,                   0,            0.096578,            0.023343,            0.050932,          0.00085035,          0.00085035,             0.09195
                  10,            0.097393,            0.024205,            0.050436,                   0,                   0,                   0,                   0,            0.095693,            0.023332,            0.050674,          0.00093149,          0.00093149,            0.091131
                  11,            0.097364,            0.025187,            0.049627,                   0,                   0,                   0,                   0,            0.094911,            0.023365,            0.050422,           0.0010117,           0.0010117,            0.090312
                  12,            0.096676,            0.023196,            0.049225,                   0,                   0,                   0,                   0,            0.093955,            0.023418,            0.050008,           0.0010911,           0.0010911,            0.089491
                  13,            0.097443,            0.023163,            0.048917,                   0,                   0,                   0,                   0,            0.093522,            0.023414,            0.049811,           0.0011696,           0.0011696,             0.08867
                  14,            0.094793,            0.023271,            0.048367,                   0,                   0,                   0,                   0,            0.092401,            0.023531,            0.049464,           0.0012471,           0.0012471,            0.087847
                  15,            0.093582,            0.025116,            0.048978,                   0,                   0,                   0,                   0,            0.091019,            0.023742,            0.049058,           0.0013238,           0.0013238,            0.087024
                  16,             0.09391,            0.024638,            0.048319,             0.35388,           0.0043266,            0.006855,          0.00089496,            0.089679,            0.023993,            0.048646,           0.0013996,           0.0013996,              0.0862
                  17,            0.092727,            0.023737,            0.048244,             0.19823,            0.017544,            0.010486,           0.0029562,             0.08869,            0.024062,            0.048334,           0.0014745,           0.0014745,            0.085375
                  18,            0.091495,            0.025215,            0.048207,             0.35016,            0.017544,            0.014916,           0.0034714,             0.08771,            0.024168,            0.047957,           0.0015485,           0.0015485,            0.084549
                  19,            0.090103,            0.023855,            0.047248,             0.53301,            0.078947,            0.021265,           0.0058786,            0.086728,             0.02428,            0.047721,           0.0016217,           0.0016217,            0.083722
                  20,            0.090823,            0.026419,            0.047477,             0.85923,            0.070175,            0.018592,           0.0042627,            0.085457,             0.02436,            0.047354,           0.0016939,           0.0016939,            0.082894
                  21,            0.087744,            0.024898,            0.046967,             0.87015,             0.05477,            0.032588,           0.0067716,            0.083925,            0.024491,            0.047247,           0.0017652,           0.0017652,            0.082065
                  22,            0.086163,            0.026369,            0.047826,             0.70246,            0.088772,            0.039148,           0.0092858,            0.082254,            0.024563,            0.046829,           0.0018357,           0.0018357,            0.081236
                  23,              0.0864,            0.024968,            0.046909,             0.70521,            0.070175,            0.036862,           0.0083014,            0.081118,            0.024132,            0.046408,           0.0019052,           0.0019052,            0.080405
                  24,            0.083895,            0.024964,            0.046985,             0.71049,             0.08762,            0.056317,            0.013503,            0.078056,            0.024332,            0.046009,           0.0019739,           0.0019739,            0.079574
                  25,            0.080912,            0.026615,            0.045339,             0.71794,             0.11404,            0.055511,            0.011385,            0.076434,             0.02389,            0.045736,           0.0020417,           0.0020417,            0.078742
                  26,            0.079549,            0.022883,            0.045872,             0.72776,            0.096491,            0.066662,             0.01095,            0.074474,             0.02376,            0.045367,           0.0021085,           0.0021085,            0.077909
                  27,            0.075995,            0.024184,            0.045003,             0.91221,            0.087719,            0.070681,            0.017402,            0.072292,            0.023306,            0.045258,           0.0021745,           0.0021745,            0.077075
                  28,            0.075484,            0.023533,            0.045719,             0.94104,             0.11404,             0.11456,            0.031483,            0.070301,            0.023112,            0.045003,           0.0022396,           0.0022396,             0.07624
                  29,            0.073901,            0.023206,            0.043871,              0.7321,             0.13158,            0.086975,            0.029014,            0.068266,            0.022622,            0.044966,           0.0023039,           0.0023039,            0.075404
