               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12021,            0.028915,            0.054209,                   0,                   0,                   0,                   0,             0.10717,            0.028745,            0.052502,               8e-05,               8e-05,             0.09928
                   1,             0.11237,            0.026958,            0.053571,          4.1336e-05,              0.0625,          3.2509e-05,          4.1701e-06,              0.1023,            0.028015,            0.052245,          0.00016916,          0.00016916,            0.098469
                   2,             0.10783,            0.026622,            0.052756,          9.9895e-05,              0.0375,          5.8584e-05,          1.0297e-05,            0.099209,            0.027334,            0.051987,          0.00025743,          0.00025743,            0.097657
                   3,             0.10253,            0.026823,             0.05236,          2.7557e-05,            0.016667,          1.5539e-05,          5.9864e-06,            0.097423,            0.026658,            0.051733,           0.0003448,           0.0003448,            0.096845
                   4,             0.10076,            0.024838,            0.051944,          2.7557e-05,            0.016667,           1.522e-05,          5.8713e-06,            0.096777,            0.026039,            0.051511,          0.00043129,          0.00043129,            0.096031
                   5,             0.10001,            0.026543,             0.05139,          2.7557e-05,            0.016667,          1.5561e-05,          5.9539e-06,             0.09639,            0.025566,            0.051286,          0.00051688,          0.00051688,            0.095217
                   6,             0.10004,            0.025375,            0.051215,          2.7557e-05,            0.016667,          1.5228e-05,          5.8732e-06,            0.096512,            0.025062,            0.051088,          0.00060159,          0.00060159,            0.094402
                   7,            0.098533,            0.026131,            0.051409,          2.7557e-05,            0.016667,          1.5265e-05,          5.8823e-06,            0.096368,            0.024723,            0.050909,           0.0006854,           0.0006854,            0.093585
                   8,             0.10026,            0.025092,            0.050894,          2.7557e-05,            0.016667,          1.5471e-05,          5.9321e-06,            0.096371,            0.024384,            0.050752,          0.00076832,          0.00076832,            0.092768
                   9,            0.098944,            0.026419,            0.050404,          2.7589e-05,            0.016667,          1.5703e-05,            6.05e-06,            0.096165,            0.024194,            0.050532,          0.00085035,          0.00085035,             0.09195
                  10,            0.096942,             0.02461,            0.050165,          3.0503e-05,            0.016667,          1.6853e-05,          5.6979e-06,            0.095589,            0.024106,            0.050218,          0.00093149,          0.00093149,            0.091131
                  11,            0.096462,            0.025811,            0.049885,                   0,                   0,                   0,                   0,            0.094999,            0.024108,            0.049948,           0.0010117,           0.0010117,            0.090312
                  12,            0.097112,            0.023646,            0.049559,          2.2143e-05,           0.0083333,          1.2124e-05,          2.4248e-06,            0.094625,            0.024082,            0.049716,           0.0010911,           0.0010911,            0.089491
                  13,            0.097134,            0.023886,            0.049248,           1.986e-05,           0.0083333,          1.1103e-05,          1.1103e-06,            0.094197,            0.024083,            0.049435,           0.0011696,           0.0011696,             0.08867
                  14,            0.094473,            0.024296,            0.049263,          3.9839e-05,            0.016667,          2.2615e-05,          7.4999e-06,            0.093556,            0.024134,            0.049155,           0.0012471,           0.0012471,            0.087847
                  15,            0.094906,            0.025513,            0.048739,          4.8121e-05,            0.016667,          2.7146e-05,          1.1669e-05,            0.092438,            0.024354,            0.048836,           0.0013238,           0.0013238,            0.087024
                  16,            0.094413,            0.024841,            0.048187,          4.6471e-05,            0.016667,          2.6434e-05,          9.6997e-06,            0.091155,             0.02462,            0.048393,           0.0013996,           0.0013996,              0.0862
                  17,            0.094163,            0.023245,            0.048889,           0.0028031,            0.032143,           0.0033972,           0.0013652,            0.090518,             0.02475,            0.048055,           0.0014745,           0.0014745,            0.085375
                  18,            0.094196,            0.025617,            0.048299,          0.00014864,            0.033333,          0.00023719,           0.0001095,            0.090223,            0.024728,             0.04785,           0.0015485,           0.0015485,            0.084549
                  19,            0.091182,            0.024399,            0.048006,          0.00026824,                0.05,            0.012106,           0.0030366,             0.08943,            0.024925,            0.047701,           0.0016217,           0.0016217,            0.083722
                  20,            0.092736,            0.025712,            0.047936,             0.57059,           0.0083333,            0.020149,           0.0047793,            0.088455,            0.025075,            0.047426,           0.0016939,           0.0016939,            0.082894
                  21,            0.090324,            0.024655,             0.04716,             0.71346,               0.025,            0.038419,           0.0081856,            0.087563,            0.025207,            0.047102,           0.0017652,           0.0017652,            0.082065
                  22,             0.08932,            0.026261,            0.047686,             0.70959,               0.075,            0.047546,            0.015413,             0.08584,            0.025471,            0.046651,           0.0018357,           0.0018357,            0.081236
                  23,            0.090356,            0.024635,            0.047291,              0.8946,            0.066667,            0.058424,            0.012893,            0.084885,            0.025515,             0.04628,           0.0019052,           0.0019052,            0.080405
                  24,            0.087608,            0.025557,            0.046187,             0.90037,            0.058333,            0.046271,            0.014776,            0.084433,            0.025154,            0.046071,           0.0019739,           0.0019739,            0.079574
                  25,             0.08584,            0.027149,            0.045699,             0.70744,            0.091667,            0.042244,           0.0090931,            0.083329,            0.025093,              0.0458,           0.0020417,           0.0020417,            0.078742
                  26,            0.084744,            0.024183,            0.046941,             0.89553,            0.083333,            0.069036,            0.017191,            0.079954,            0.025406,            0.045349,           0.0021085,           0.0021085,            0.077909
                  27,            0.081243,             0.02565,            0.046924,             0.89938,            0.066667,            0.067193,            0.019233,             0.07785,            0.025385,            0.045051,           0.0021745,           0.0021745,            0.077075
                  28,            0.078788,            0.026063,            0.046346,             0.93299,                0.05,            0.066707,            0.021603,            0.076589,            0.025048,             0.04462,           0.0022396,           0.0022396,             0.07624
                  29,            0.077385,             0.02576,            0.044658,             0.90338,               0.075,            0.070701,            0.019904,            0.074354,            0.024976,            0.044334,           0.0023039,           0.0023039,            0.075404
                  30,            0.075296,            0.024754,            0.046866,             0.93044,            0.058333,            0.068263,             0.01931,            0.071475,            0.024897,              0.0441,           0.0023672,           0.0023672,            0.074567
                  31,            0.074619,            0.024803,            0.045566,             0.89119,            0.066479,            0.042637,            0.012311,            0.072134,            0.024174,             0.04392,           0.0024296,           0.0024296,             0.07373
                  32,            0.073408,            0.023672,            0.044928,             0.71407,            0.082811,            0.045317,           0.0086283,             0.06903,            0.024341,            0.043731,           0.0024911,           0.0024911,            0.072891
                  33,             0.07209,            0.024383,             0.04488,             0.92306,            0.058333,            0.073011,            0.020593,            0.068243,            0.023786,            0.043488,           0.0025518,           0.0025518,            0.072052
                  34,            0.070931,            0.024433,            0.045185,             0.94823,               0.075,             0.08721,              0.0335,            0.065131,            0.023685,            0.042968,           0.0026115,           0.0026115,            0.071212
                  35,             0.06699,            0.023484,            0.044328,             0.96647,            0.066667,            0.088298,            0.018317,            0.063802,            0.023345,            0.042849,           0.0026704,           0.0026704,             0.07037
                  36,            0.066777,            0.023449,            0.045565,             0.95453,            0.066667,             0.10549,            0.033115,            0.065282,            0.021976,             0.04259,           0.0027284,           0.0027284,            0.069528
                  37,            0.068043,            0.020206,            0.044675,             0.91938,            0.066667,            0.095712,            0.024597,            0.061765,            0.022561,            0.042475,           0.0027855,           0.0027855,            0.068685
                  38,            0.064874,            0.021176,            0.043678,            0.057816,             0.38836,             0.11879,            0.033506,            0.065583,            0.021222,            0.042098,           0.0028417,           0.0028417,            0.067842
                  39,            0.065936,            0.020409,            0.043697,            0.046645,             0.41706,            0.083142,            0.021481,             0.06186,            0.021629,            0.041804,            0.002897,            0.002897,            0.066997
                  40,            0.061169,            0.021763,            0.042931,             0.12241,             0.34947,             0.17672,            0.068168,            0.059826,            0.020839,            0.041644,           0.0029514,           0.0029514,            0.066151
                  41,            0.063623,            0.021952,            0.044224,             0.66007,             0.20088,             0.14022,            0.034751,            0.064708,            0.020189,            0.041399,           0.0030049,           0.0030049,            0.065305
                  42,            0.061756,             0.02077,            0.042577,             0.69497,             0.22721,             0.17406,            0.051098,            0.058276,            0.020907,            0.041374,           0.0030575,           0.0030575,            0.064458
                  43,            0.061335,            0.020366,            0.042757,             0.22857,             0.46058,             0.28216,             0.11937,            0.055359,             0.02053,            0.041285,           0.0031092,           0.0031092,            0.063609
                  44,            0.058726,            0.019259,            0.042815,             0.25106,             0.38113,             0.23223,            0.076092,            0.058624,            0.020535,            0.041212,           0.0031601,           0.0031601,             0.06276
                  45,            0.060099,            0.019911,            0.043269,             0.14444,             0.44577,             0.23859,            0.077233,             0.05566,            0.020647,            0.041134,             0.00321,             0.00321,             0.06191
                  46,             0.05964,            0.018062,            0.043959,             0.15745,              0.3636,             0.23516,            0.085416,            0.058031,            0.019781,            0.040977,           0.0032591,           0.0032591,            0.061059
                  47,            0.057226,            0.018759,             0.04217,             0.21829,             0.39339,             0.26105,            0.093263,            0.054317,            0.019677,            0.039881,           0.0033073,           0.0033073,            0.060207
                  48,            0.058466,            0.019064,            0.042267,             0.53914,             0.33486,             0.24099,            0.063571,            0.055373,            0.019608,            0.039586,           0.0033546,           0.0033546,            0.059355
                  49,             0.05772,            0.017791,             0.04144,             0.29899,             0.46217,             0.35934,             0.12799,             0.05541,            0.019413,            0.039289,            0.003401,            0.003401,            0.058501
                  50,            0.055634,            0.018359,            0.041211,             0.25329,             0.50317,             0.33791,              0.1306,            0.050837,            0.019498,            0.038755,           0.0034464,           0.0034464,            0.057646
                  51,            0.058171,            0.018087,            0.039203,              0.3603,             0.44135,             0.38626,             0.11676,            0.051938,            0.019974,            0.039197,           0.0034911,           0.0034911,            0.056791
                  52,            0.057411,            0.017793,            0.041497,             0.31174,             0.50615,             0.36658,             0.12073,            0.054157,            0.019189,            0.038213,           0.0035348,           0.0035348,            0.055935
                  53,            0.056333,            0.017417,            0.042035,             0.24974,             0.57974,             0.38235,             0.13649,            0.049172,             0.01987,            0.037728,           0.0035776,           0.0035776,            0.055078
                  54,            0.054388,            0.017311,            0.039465,             0.24233,             0.57616,              0.3461,             0.10279,            0.055994,             0.01884,            0.036955,           0.0036195,           0.0036195,             0.05422
                  55,            0.056358,             0.01855,            0.040765,             0.23178,             0.64033,             0.36766,             0.12997,            0.052534,            0.018532,            0.037029,           0.0036606,           0.0036606,            0.053361
                  56,            0.063227,            0.017031,            0.039082,             0.26624,             0.41917,             0.33346,             0.11118,            0.054821,            0.018838,            0.037317,           0.0037007,           0.0037007,            0.052501
                  57,            0.060796,            0.017979,            0.038987,             0.19322,              0.5488,             0.30334,            0.084877,            0.055977,            0.018858,            0.037292,             0.00374,             0.00374,             0.05164
                  58,            0.056958,              0.0186,            0.038436,             0.39209,             0.46951,             0.34612,             0.10853,              0.0551,            0.018631,            0.036335,           0.0037784,           0.0037784,            0.050778
                  59,            0.056789,            0.017979,            0.040558,             0.24533,             0.54914,              0.3952,             0.15016,            0.051007,            0.018815,            0.036719,           0.0038159,           0.0038159,            0.049916
                  60,            0.057135,            0.017357,            0.038946,             0.21016,             0.54358,             0.35829,             0.14613,             0.05042,            0.018389,            0.035872,           0.0038524,           0.0038524,            0.049052
                  61,            0.054612,            0.016751,            0.038092,             0.81644,             0.26521,             0.36392,             0.12415,             0.05466,            0.017987,            0.035642,           0.0038881,           0.0038881,            0.048188
                  62,            0.062853,            0.016482,            0.037837,             0.32137,             0.48645,             0.42022,             0.12552,            0.051379,            0.019205,            0.034705,           0.0039229,           0.0039229,            0.047323
                  63,            0.054921,            0.016152,            0.036798,             0.35742,             0.56098,             0.44994,             0.18703,            0.050143,              0.0181,            0.033845,           0.0039569,           0.0039569,            0.046457
                  64,            0.054656,            0.016728,            0.037177,             0.45252,             0.61539,             0.48937,             0.16581,            0.052044,             0.01768,            0.033499,           0.0039899,           0.0039899,             0.04559
                  65,            0.058781,             0.01659,            0.037127,             0.47946,             0.50389,             0.47735,             0.19852,            0.050938,            0.017771,            0.033363,            0.004022,            0.004022,            0.044722
                  66,            0.050713,            0.017449,            0.034979,             0.41943,               0.676,             0.48382,             0.18172,            0.049852,            0.017841,            0.032386,           0.0040533,           0.0040533,            0.043853
                  67,            0.056102,            0.017062,            0.036362,             0.21252,             0.67984,             0.33127,             0.10618,            0.051858,            0.017487,            0.032425,           0.0040836,           0.0040836,            0.042984
                  68,            0.054591,            0.015735,            0.034904,             0.54551,              0.4803,             0.46107,             0.16551,            0.053217,            0.017417,              0.0325,           0.0041131,           0.0041131,            0.042113
                  69,            0.059263,            0.015223,            0.035321,             0.37333,             0.69517,             0.54971,             0.25311,            0.046113,            0.018041,            0.032012,           0.0041417,           0.0041417,            0.041242
                  70,             0.05107,            0.016819,            0.034136,             0.42758,             0.66283,             0.50767,             0.18675,            0.052308,            0.016925,            0.031304,           0.0041693,           0.0041693,            0.040369
                  71,            0.051264,            0.016223,            0.033672,             0.52676,              0.5909,             0.58336,             0.23555,            0.048575,            0.016916,            0.030523,           0.0041961,           0.0041961,            0.039496
                  72,            0.051654,            0.016961,            0.031846,             0.55401,             0.62886,             0.58082,             0.26296,            0.045836,            0.017025,            0.029963,            0.004222,            0.004222,            0.038622
                  73,            0.047519,            0.016181,            0.032734,             0.33493,             0.72341,             0.50593,             0.18625,             0.05108,            0.016516,            0.029558,            0.004247,            0.004247,            0.037747
                  74,             0.05756,            0.015536,            0.032152,             0.42695,             0.55856,             0.47966,             0.18796,            0.052345,            0.016748,            0.030297,           0.0042711,           0.0042711,            0.036871
                  75,            0.053973,            0.015776,            0.032503,              0.5144,             0.60621,             0.49343,             0.18185,            0.048258,            0.016793,            0.028253,           0.0042944,           0.0042944,            0.035994
                  76,            0.050008,            0.015667,            0.029412,             0.45798,             0.64325,              0.5275,             0.18984,            0.051371,             0.01675,            0.027837,           0.0043167,           0.0043167,            0.035117
                  77,            0.055176,            0.015074,            0.030239,             0.51707,             0.57404,             0.52252,               0.235,            0.046192,            0.017466,            0.027474,           0.0043381,           0.0043381,            0.034238
                  78,            0.054581,            0.015903,             0.02735,             0.50837,             0.61267,             0.50647,             0.20589,            0.050555,            0.016732,            0.027077,           0.0043587,           0.0043587,            0.033359
